Team,Conf.,Rec.,2ndO Wins,S&P+P,S&P+R,Rk,Off. S&P+,Rk,Def. S&P+,Rk,ST S&P+,Rk,SOS,Rk,Year
Alabama,SEC,14-1,13.8 (-0.2),99.50%,36.3,1,50.9,2,14.2,7,-0.4,85,0.795,11,2018
Georgia,SEC,3-Nov,11.5 (0.5),99.00%,32.9,2,45.9,3,14.2,8,1.3,20,0.794,9,2018
Clemson,ACC,15-0,14.0 (-1.0),98.20%,29.7,3,43,5,12.6,3,-0.6,95,0.912,63,2018
Oklahoma,Big 12,2-Dec,11.7 (-0.3),95.90%,24.9,4,54,1,30,84,1,32,0.909,61,2018
LSU,SEC,3-Oct,9.1 (-0.9),95.40%,24.2,5,34.8,30,13.4,5,2.7,3,0.75,1,2018
Ohio State,Big Ten,13-1,10.9 (-2.1),95.30%,24.1,6,44.4,4,21.2,26,0.8,38,0.899,51,2018
Auburn,SEC,5-Aug,8.2 (0.2),94.90%,23.6,7,36.9,19,14.1,6,0.7,43,0.761,3,2018
Mississippi State,SEC,5-Aug,8.7 (0.7),94.60%,23.2,8,34.6,32,10.5,1,-0.9,101,0.791,8,2018
Florida,SEC,3-Oct,9.7 (-0.3),94.40%,23,9,38.6,15,17.4,17,1.7,11,0.813,14,2018
Michigan,Big Ten,3-Oct,10.3 (0.3),93.60%,22,10,35.5,25,14.3,9,0.9,36,0.867,26,2018
Texas A&M,SEC,4-Sep,9.0 (0.0),93.20%,21.6,11,40.3,10,19.8,21,1.1,28,0.761,4,2018
Missouri,SEC,5-Aug,9.3 (1.3),92.40%,20.8,12,41.3,8,21,25,0.5,51,0.794,10,2018
Notre Dame,Ind,1-Dec,10.3 (-1.7),92.30%,20.7,13,34.6,33,14.5,10,0.6,45,0.905,55,2018
Washington,Pac-12,4-Oct,10.9 (0.9),91.40%,19.9,14,34.5,34,12.7,4,-1.9,117,0.88,34,2018
Penn State,Big Ten,4-Sep,9.7 (0.7),90.40%,19,15,33.9,36,14.6,11,-0.3,77,0.868,29,2018
Fresno State,MWC,2-Dec,12.1 (0.1),88.10%,17.4,16,33.5,37,15.5,12,-0.6,94,0.944,91,2018
