Yr,Conf,Team,W,L,GP,SecO_W,SecO_Diff,SnP_val,SnP_pct,SnP_rnk,SnPO_val,SnPO_rnk,SnPD_val,SnPD_rnk,SnPS_val,SnPS_rnk,SoS,SoS_rnk
2018,SEC,Alabama,14,1,15,13.8,-0.2,36.3,99.5,1,50.9,2,14.2,7,-0.4,85,0.795,11
2018,SEC,Georgia,11,3,14,11.5,0.5,32.9,99,2,45.9,3,14.2,8,1.3,20,0.794,9
2018,ACC,Clemson,15,0,15,14,-1,29.7,98.2,3,43,5,12.6,3,-0.6,95,0.912,63
2018,Big 12,Oklahoma,12,2,14,11.7,-0.3,24.9,95.9,4,54,1,30,84,1,32,0.909,61
2018,SEC,LSU,10,3,13,9.1,-0.9,24.2,95.4,5,34.8,30,13.4,5,2.7,3,0.75,1
2018,Big Ten,Ohio State,13,1,14,10.9,-2.1,24.1,95.3,6,44.4,4,21.2,26,0.8,38,0.899,51
2018,SEC,Auburn,8,5,13,8.2,0.2,23.6,94.9,7,36.9,19,14.1,6,0.7,43,0.761,3
2018,SEC,Mississippi State,8,5,13,8.7,0.7,23.2,94.6,8,34.6,32,10.5,1,-0.9,101,0.791,8
2018,SEC,Florida,10,3,13,9.7,-0.3,23,94.4,9,38.6,15,17.4,17,1.7,11,0.813,14
2018,Big Ten,Michigan,10,3,13,10.3,0.3,22,93.6,10,35.5,25,14.3,9,0.9,36,0.867,26
2018,SEC,Texas A&M,9,4,13,9,0,21.6,93.2,11,40.3,10,19.8,21,1.1,28,0.761,4
2018,SEC,Missouri,8,5,13,9.3,1.3,20.8,92.4,12,41.3,8,21,25,0.5,51,0.794,10
2018,Ind,Notre Dame,12,1,13,10.3,-1.7,20.7,92.3,13,34.6,33,14.5,10,0.6,45,0.905,55
2018,Pac-12,Washington,10,4,14,10.9,0.9,19.9,91.4,14,34.5,34,12.7,4,-1.9,117,0.88,34
2018,Big Ten,Penn State,9,4,13,9.7,0.7,19,90.4,15,33.9,36,14.6,11,-0.3,77,0.868,29
2018,MWC,Fresno State,12,2,14,12.1,0.1,17.4,88.1,16,33.5,37,15.5,12,-0.6,94,0.944,91
2018,Pac-12,Utah,9,5,14,9.2,0.2,16.8,87.3,17,31.9,45,18.1,19,3,1,0.887,38
2018,AAC,Central Florida,12,1,13,10.6,-1.4,16.5,86.7,18,39.9,11,25.2,47,1.8,10,0.954,107
2018,Big Ten,Wisconsin,8,5,13,8.7,0.7,15.5,85,19,39.3,12,21.6,29,-2.3,125,0.899,50
2018,SEC,South Carolina,7,6,13,5.8,-1.2,14.9,84,20,36.4,21,23.6,40,2,7,0.788,7
2018,MWC,Utah State,11,2,13,10,-1,14.2,82.7,21,36.3,22,22.5,35,0.4,55,0.956,110
2018,Big 12,Oklahoma State,7,6,13,7.6,0.6,13.8,82.1,22,42,7,28.9,71,0.7,42,0.892,46
2018,Big Ten,Iowa,9,4,13,8.8,-0.2,13.3,81,23,30.3,54,17.7,18,0.7,44,0.911,62
2018,Big 12,West Virginia,8,4,12,7.5,-0.5,13.2,80.8,24,41.1,9,29.2,76,1.3,18,0.888,39
2018,SEC,Kentucky,10,3,13,7.8,-2.2,13.1,80.5,25,29.5,64,16.3,15,-0.1,72,0.806,12
2018,Pac-12,Stanford,9,4,13,8.4,-0.6,13,80.4,26,35.4,26,24.3,43,1.8,8,0.877,33
2018,ACC,Miami-FL,7,6,13,8.8,1.8,12.7,79.8,27,29.3,66,15.8,14,-0.8,97,0.922,72
2018,MWC,Boise State,10,3,13,8.9,-1.1,12.2,78.8,28,37.1,18,22.8,38,-2,121,0.905,56
2018,Sun Belt,Appalachian State,11,2,13,11,0,11.9,78,29,30,56,19,20,1,34,0.961,116
2018,Big Ten,Michigan State,7,6,13,7.5,0.5,11.5,77.1,30,22,112,10.8,2,0.3,61,0.867,28
2018,Pac-12,Washington State,11,2,13,9.7,-1.3,11.3,76.8,31,38.8,13,27.3,59,-0.2,74,0.903,53
2018,Big 12,Texas,10,4,14,8.3,-1.7,11.3,76.6,32,35.3,27,24.4,44,0.4,59,0.865,24
2018,SEC,Ole Miss,5,7,12,5.9,0.9,9.8,73.2,33,42.1,6,31.2,90,-1.2,103,0.786,6
2018,Pac-12,USC,5,7,12,7,2,9.7,72.9,34,31.7,46,22.5,34,0.5,50,0.892,44
2018,ACC,NC State,9,4,13,8.3,-0.7,9.4,72.2,35,35.1,29,26.7,54,1.1,27,0.917,65
2018,AAC,Memphis,8,6,14,9.6,1.6,9.2,71.6,36,38.8,14,30.5,87,0.8,39,0.931,80
2018,Big 12,Texas Tech,5,7,12,6.2,1.2,8.7,70.4,37,36.2,23,29.8,81,2.4,6,0.885,36
2018,Big 12,Iowa State,8,5,13,8.1,0.1,7.9,68.5,38,29.9,59,21.5,28,-0.4,83,0.885,37
2018,SEC,Vanderbilt,6,7,13,7.1,1.1,7.6,67.6,39,35.6,24,27.1,57,-0.9,100,0.812,13
2018,ACC,Syracuse,10,3,13,8.5,-1.5,7.5,67.4,40,32.1,44,27.4,60,2.8,2,0.898,49
2018,Pac-12,Oregon,9,4,13,7.6,-1.4,7.3,66.7,41,34.7,31,25.8,50,-1.7,111,0.909,59
2018,ACC,Virginia,8,5,13,8.9,0.9,7.1,66.4,42,29.7,62,22,31,-0.6,93,0.941,88
2018,Big 12,TCU,7,6,13,7.1,0.1,6.9,65.8,43,25.7,91,16.9,16,-1.8,115,0.865,25
2018,Big Ten,Purdue,6,7,13,7.5,1.5,6.5,64.5,44,37.2,17,30.8,88,0,67,0.867,27
2018,Big Ten,Minnesota,7,6,13,6.9,-0.1,6.3,64.1,45,28.2,75,22.8,39,1,31,0.884,35
2018,Ind,BYU,7,6,13,8.1,1.1,6.2,63.8,46,28.9,72,22.3,33,-0.4,86,0.896,47
2018,MWC,San Diego State,7,6,13,7.6,0.6,6,63.3,47,25.6,92,21,24,1.4,16,0.934,83
2018,SEC,Tennessee,5,7,12,4.3,-0.7,5.5,61.7,48,33.4,38,28.9,72,1,30,0.759,2
2018,Big Ten,Nebraska,4,8,12,6.7,2.7,5.4,61.6,49,32.7,42,26.9,55,-0.4,80,0.868,30
2018,AAC,Cincinnati,11,2,13,9.6,-1.4,5.4,61.4,50,28.3,74,22.6,36,-0.4,82,0.955,108
2018,ACC,Duke,8,5,13,6.8,-1.2,5,60.5,51,30.5,52,25,46,-0.5,87,0.901,52
2018,Pac-12,Arizona State,7,6,13,6.3,-0.7,5,60.5,52,33.9,35,30.4,86,1.5,14,0.892,45
2018,SEC,Arkansas,2,10,12,3.4,1.4,4.5,58.8,53,29.7,61,25.7,49,0.5,52,0.777,5
2018,MAC,Ohio,9,4,13,8.9,-0.1,4,57.6,54,38.2,16,35,107,0.8,40,0.974,127
2018,ACC,Virginia Tech,6,7,13,5.7,-0.3,3.9,57.2,55,32.8,41,29.4,77,0.4,57,0.921,71
2018,Pac-12,California,7,6,13,6.5,-0.5,3.9,57.1,56,18.3,118,15.6,13,1.2,25,0.909,58
2018,ACC,Wake Forest,7,6,13,7.4,0.4,3.6,56.4,57,31.2,48,28.1,64,0.5,49,0.89,42
2018,Pac-12,Arizona,5,7,12,5.3,0.3,3.6,56.2,58,32.3,43,29,74,0.3,63,0.918,67
2018,Big Ten,Maryland,5,7,12,5.3,0.3,3,54.6,59,27.6,80,25.9,51,1.3,21,0.861,20
2018,AAC,Temple,8,5,13,8.5,0.5,2.9,54.4,60,28.1,76,23.9,42,-1.3,106,0.951,102
2018,ACC,Pittsburgh,7,7,14,6.8,-0.2,2.7,53.8,61,29,71,26.6,53,0.4,60,0.849,17
2018,Sun Belt,Troy,10,3,13,8.8,-1.2,2.6,53.4,62,26.4,89,25.6,48,1.8,9,0.961,115
2018,ACC,Boston College,7,5,12,6.2,-0.8,2.4,52.9,63,26.5,88,22.1,32,-1.9,118,0.896,48
2018,AAC,Houston,8,5,13,8.1,0.1,2.3,52.6,64,36.7,20,34.9,106,0.6,47,0.961,113
2018,C-USA,North Texas,9,4,13,9.8,0.8,2.1,51.9,65,29.2,67,29.5,78,2.4,5,0.981,130
2018,MAC,Toledo,7,6,13,7.1,0.1,2,51.6,66,35.2,28,34.4,102,1.1,26,0.953,106
